pass	run	unit	judgment	severity	label	raw_key
spec-ears	B08	ST-05	clean		ubiquitous	
spec-ears	B08	ST-06	clean		ubiquitous	
spec-ears	B08	ST-07	clean		ubiquitous	
spec-ears	B08	ST-08	flagged	low	state_driven	
spec-ears	B08	ST-09	clean		ubiquitous	
spec-ears	B08	ST-10	flagged	low	ubiquitous	
spec-ears	B08	ST-11	clean		ubiquitous	
spec-ears	B08	ST-12	clean		ubiquitous	
spec-ears	B08	ST-13	clean		ubiquitous	
spec-ears	B08	ST-14	clean		ubiquitous	
spec-ears	B08	ST-15	clean		ubiquitous	
spec-ears	B08	ST-16	clean		ubiquitous	
spec-ears	B08	ST-17	clean		ubiquitous	
spec-ears	B08	ST-18	clean		unwanted_behaviour	
spec-ears	B08	ST-19	clean		ubiquitous	
spec-ears	B08	ST-20	clean		ubiquitous	
spec-ears	B08	ST-21	clean		ubiquitous	
spec-ears	B08	ST-22	clean		ubiquitous	
spec-ears	B08	ST-23	clean		ubiquitous	
spec-ears	B09	ST-01	clean		ubiquitous	
spec-ears	B09	ST-02	flagged	low	event_driven	
spec-ears	B09	ST-03	flagged	low	ubiquitous	
spec-ears	B09	ST-04	clean		ubiquitous	
spec-ears	B09	ST-05	flagged	medium	ubiquitous	
spec-ears	B09	ST-06	clean		ubiquitous	
spec-ears	B09	ST-07	clean		ubiquitous	
spec-ears	B09	ST-08	flagged	low	event_driven	
spec-ears	B09	ST-09	clean		ubiquitous	
spec-ears	B09	ST-10	clean		ubiquitous	
spec-ears	B09	ST-11	clean		ubiquitous	
spec-ears	B09	ST-12	clean		unwanted_behaviour	
spec-ears	B09	ST-13	clean		ubiquitous	
spec-ears	B09	ST-14	clean		unwanted_behaviour	
spec-ears	B09	ST-15	clean		unwanted_behaviour	
spec-ears	B09	ST-16	clean		unwanted_behaviour	
spec-ears	B09	ST-17	clean		unwanted_behaviour	
spec-ears	B09	ST-18	clean		unwanted_behaviour	
spec-ears	B09	ST-19	flagged	low	unwanted_behaviour	
spec-ears	B09	ST-20	clean		ubiquitous	
spec-ears	B09	ST-21	clean		ubiquitous	
spec-ears	B09	ST-22	clean		ubiquitous	
spec-ears	B09	ST-23	clean		ubiquitous	
spec-ears	B10	ST-01	clean		ubiquitous	
spec-ears	B10	ST-02	clean		event_driven	
spec-ears	B10	ST-03	clean		ubiquitous	
spec-ears	B10	ST-04	clean		ubiquitous	
spec-ears	B10	ST-05	clean		ubiquitous	
spec-ears	B10	ST-06	clean		ubiquitous	
spec-ears	B10	ST-07	clean		ubiquitous	
spec-ears	B10	ST-08	clean		event_driven	
spec-ears	B10	ST-09	clean		ubiquitous	
spec-ears	B10	ST-10	flagged	low	ubiquitous	
spec-ears	B10	ST-11	clean		ubiquitous	
spec-ears	B10	ST-12	clean		unwanted_behaviour	
spec-ears	B10	ST-13	clean		ubiquitous	
spec-ears	B10	ST-14	flagged	low	unwanted_behaviour	
spec-ears	B10	ST-15	flagged	low	unwanted_behaviour	
spec-ears	B10	ST-16	flagged	low	unwanted_behaviour	
spec-ears	B10	ST-17	flagged	low	unwanted_behaviour	
spec-ears	B10	ST-18	clean		unwanted_behaviour	
spec-ears	B10	ST-19	flagged	low	unwanted_behaviour	
spec-ears	B10	ST-20	clean		ubiquitous	
spec-ears	B10	ST-21	clean		ubiquitous	
spec-ears	B10	ST-22	clean		ubiquitous	
spec-ears	B10	ST-23	clean		ubiquitous	
spec-ears	B11	ST-01	clean		ubiquitous	
spec-ears	B11	ST-02	clean		state_driven	
spec-ears	B11	ST-03	clean		ubiquitous	
spec-ears	B11	ST-04	clean		ubiquitous	
spec-ears	B11	ST-05	clean		ubiquitous	
spec-ears	B11	ST-06	clean		ubiquitous	
spec-ears	B11	ST-07	clean		ubiquitous	
spec-ears	B11	ST-08	clean		state_driven	
spec-ears	B11	ST-09	clean		ubiquitous	
spec-ears	B11	ST-10	flagged	low	ubiquitous	
spec-ears	B11	ST-11	clean		ubiquitous	
spec-ears	B11	ST-12	clean		ubiquitous	
spec-ears	B11	ST-13	clean		ubiquitous	
spec-ears	B11	ST-14	clean		ubiquitous	
spec-ears	B11	ST-15	clean		ubiquitous	
spec-ears	B11	ST-16	clean		ubiquitous	
spec-ears	B11	ST-17	clean		ubiquitous	
spec-ears	B11	ST-18	flagged	low	unwanted_behaviour	
spec-ears	B11	ST-19	clean		ubiquitous	
spec-ears	B11	ST-20	clean		ubiquitous	
spec-ears	B11	ST-21	clean		ubiquitous	
spec-ears	B11	ST-22	clean		ubiquitous	
spec-ears	B11	ST-23	clean		ubiquitous	
spec-ears	B12	ST-01	clean		ubiquitous	
spec-ears	B12	ST-02	clean		state_driven	
spec-ears	B12	ST-03	flagged	low	ubiquitous	
spec-ears	B12	ST-04	clean		ubiquitous	
spec-ears	B12	ST-05	clean		ubiquitous	
spec-ears	B12	ST-06	clean		ubiquitous	
spec-ears	B12	ST-07	clean		ubiquitous	
spec-ears	B12	ST-08	clean		state_driven	
spec-ears	B12	ST-09	clean		ubiquitous	
spec-ears	B12	ST-10	flagged	low	ubiquitous	
spec-ears	B12	ST-11	clean		ubiquitous	
spec-ears	B12	ST-12	clean		unwanted_behaviour	
spec-ears	B12	ST-13	clean		ubiquitous	
spec-ears	B12	ST-14	clean		unwanted_behaviour	
spec-ears	B12	ST-15	clean		unwanted_behaviour	
spec-ears	B12	ST-16	clean		unwanted_behaviour	
spec-ears	B12	ST-17	clean		unwanted_behaviour	
spec-ears	B12	ST-18	clean		unwanted_behaviour	
spec-ears	B12	ST-19	clean		unwanted_behaviour	
spec-ears	B12	ST-20	clean		ubiquitous	
spec-ears	B12	ST-21	clean		ubiquitous	
spec-ears	B12	ST-22	clean		ubiquitous	
spec-ears	B12	ST-23	clean		ubiquitous	
spec-ears	B13	ST-01	clean		ubiquitous	
spec-ears	B13	ST-02	clean		state_driven	
spec-ears	B13	ST-03	clean		ubiquitous	
spec-ears	B13	ST-04	clean		ubiquitous	
spec-ears	B13	ST-05	clean		ubiquitous	
spec-ears	B13	ST-06	clean		ubiquitous	
spec-ears	B13	ST-07	clean		ubiquitous	
spec-ears	B13	ST-08	clean		state_driven	
spec-ears	B13	ST-09	clean		ubiquitous	
spec-ears	B13	ST-10	flagged	low	ubiquitous	
spec-ears	B13	ST-11	clean		ubiquitous	
spec-ears	B13	ST-12	clean		unwanted_behaviour	
spec-ears	B13	ST-13	clean		ubiquitous	
spec-ears	B13	ST-14	clean		unwanted_behaviour	
spec-ears	B13	ST-15	clean		unwanted_behaviour	
spec-ears	B13	ST-16	clean		unwanted_behaviour	
spec-ears	B13	ST-17	clean		unwanted_behaviour	
spec-ears	B13	ST-18	clean		unwanted_behaviour	
spec-ears	B13	ST-19	flagged	low	unwanted_behaviour	
spec-ears	B13	ST-20	clean		ubiquitous	
spec-ears	B13	ST-21	clean		ubiquitous	
spec-ears	B13	ST-22	clean		ubiquitous	
spec-ears	B13	ST-23	clean		ubiquitous	
spec-ears	B14	ST-01	clean		ubiquitous	
spec-ears	B14	ST-02	flagged	low	event_driven	
spec-ears	B14	ST-03	flagged	low	ubiquitous	
spec-ears	B14	ST-04	clean		ubiquitous	
spec-ears	B14	ST-05	clean		ubiquitous	
spec-ears	B14	ST-06	clean		ubiquitous	
spec-ears	B14	ST-07	clean		ubiquitous	
spec-ears	B14	ST-08	flagged	low	event_driven	
spec-ears	B14	ST-09	clean		ubiquitous	
spec-ears	B14	ST-10	flagged	low	ubiquitous	
spec-ears	B14	ST-11	clean		ubiquitous	
spec-ears	B14	ST-12	clean		unwanted_behaviour	
spec-ears	B14	ST-13	clean		ubiquitous	
spec-ears	B14	ST-14	clean		unwanted_behaviour	
spec-ears	B14	ST-15	clean		unwanted_behaviour	
spec-ears	B14	ST-16	clean		unwanted_behaviour	
spec-ears	B14	ST-17	clean		unwanted_behaviour	
spec-ears	B14	ST-18	clean		unwanted_behaviour	
spec-ears	B14	ST-19	flagged	low	unwanted_behaviour	
spec-ears	B14	ST-20	clean		ubiquitous	
spec-ears	B14	ST-21	clean		ubiquitous	
spec-ears	B14	ST-22	clean		ubiquitous	
spec-ears	B14	ST-23	clean		ubiquitous	
spec-ears	B15	ST-01	clean		ubiquitous	
spec-ears	B15	ST-02	flagged	low	state_driven	
spec-ears	B15	ST-03	clean		ubiquitous	
spec-ears	B15	ST-04	clean		ubiquitous	
spec-ears	B15	ST-05	clean		ubiquitous	
spec-ears	B15	ST-06	clean		ubiquitous	
spec-ears	B15	ST-07	clean		ubiquitous	
spec-ears	B15	ST-08	flagged	low	state_driven	
spec-ears	B15	ST-09	clean		ubiquitous	
spec-ears	B15	ST-10	flagged	low	ubiquitous	
spec-ears	B15	ST-11	clean		ubiquitous	
spec-ears	B15	ST-12	clean		ubiquitous	
spec-ears	B15	ST-13	clean		ubiquitous	
spec-ears	B15	ST-14	clean		ubiquitous	
spec-ears	B15	ST-15	clean		ubiquitous	
spec-ears	B15	ST-16	clean		ubiquitous	
spec-ears	B15	ST-17	clean		ubiquitous	
spec-ears	B15	ST-18	clean		unwanted_behaviour	
spec-ears	B15	ST-19	flagged	medium	ubiquitous	
spec-ears	B15	ST-20	clean		ubiquitous	
spec-ears	B15	ST-21	clean		ubiquitous	
spec-ears	B15	ST-22	clean		ubiquitous	
spec-ears	B15	ST-23	clean		ubiquitous	
spec-ears	B16	ST-01	clean		ubiquitous	
spec-ears	B16	ST-02	clean		event_driven	
spec-ears	B16	ST-03	clean		ubiquitous	
spec-ears	B16	ST-04	clean		ubiquitous	
spec-ears	B16	ST-05	clean		ubiquitous	
spec-ears	B16	ST-06	clean		ubiquitous	
spec-ears	B16	ST-07	clean		ubiquitous	
spec-ears	B16	ST-08	clean		event_driven	
spec-ears	B16	ST-09	clean		ubiquitous	
spec-ears	B16	ST-10	flagged	low	ubiquitous	
spec-ears	B16	ST-11	clean		ubiquitous	
spec-ears	B16	ST-12	clean		unwanted_behaviour	
spec-ears	B16	ST-13	clean		ubiquitous	
spec-ears	B16	ST-14	flagged	low	unwanted_behaviour	
spec-ears	B16	ST-15	flagged	low	unwanted_behaviour	
spec-ears	B16	ST-16	flagged	low	unwanted_behaviour	
spec-ears	B16	ST-17	flagged	low	unwanted_behaviour	
spec-ears	B16	ST-18	clean		unwanted_behaviour	
spec-ears	B16	ST-19	flagged	low	unwanted_behaviour	
spec-ears	B16	ST-20	clean		ubiquitous	
spec-ears	B16	ST-21	clean		ubiquitous	
spec-ears	B16	ST-22	clean		ubiquitous	
spec-ears	B16	ST-23	clean		ubiquitous	
spec-ears	B17	ST-01	clean		ubiquitous	
spec-ears	B17	ST-02	clean		state_driven	
spec-ears	B17	ST-03	clean		ubiquitous	
spec-ears	B17	ST-04	clean		ubiquitous	
spec-ears	B17	ST-05	clean		ubiquitous	
spec-ears	B17	ST-06	clean		ubiquitous	
spec-ears	B17	ST-07	clean		ubiquitous	
spec-ears	B17	ST-08	clean		state_driven	
spec-ears	B17	ST-09	clean		ubiquitous	
spec-ears	B17	ST-10	flagged	low	ubiquitous	
spec-ears	B17	ST-11	clean		ubiquitous	
spec-ears	B17	ST-12	flagged	low	unwanted_behaviour	
spec-ears	B17	ST-13	clean		ubiquitous	
spec-ears	B17	ST-14	flagged	low	unwanted_behaviour	
spec-ears	B17	ST-15	flagged	low	unwanted_behaviour	
spec-ears	B17	ST-16	flagged	low	unwanted_behaviour	
spec-ears	B17	ST-17	flagged	low	unwanted_behaviour	
spec-ears	B17	ST-18	clean		unwanted_behaviour	
spec-ears	B17	ST-19	flagged	low	unwanted_behaviour	
spec-ears	B17	ST-20	clean		ubiquitous	
spec-ears	B17	ST-21	clean		ubiquitous	
spec-ears	B17	ST-22	clean		ubiquitous	
spec-ears	B17	ST-23	clean		ubiquitous	
spec-ears	B18	ST-01	clean		ubiquitous	
spec-ears	B18	ST-02	flagged	low	state_driven	
spec-ears	B18	ST-03	flagged	low	ubiquitous	
spec-ears	B18	ST-04	clean		ubiquitous	
spec-ears	B18	ST-05	clean		ubiquitous	
spec-ears	B18	ST-06	clean		ubiquitous	
spec-ears	B18	ST-07	clean		ubiquitous	
spec-ears	B18	ST-08	flagged	low	state_driven	
spec-ears	B18	ST-09	clean		ubiquitous	
spec-ears	B18	ST-10	flagged	low	ubiquitous	
spec-ears	B18	ST-11	clean		ubiquitous	
spec-ears	B18	ST-12	clean		unwanted_behaviour	
spec-ears	B18	ST-13	clean		ubiquitous	
spec-ears	B18	ST-14	flagged	low	unwanted_behaviour	
spec-ears	B18	ST-15	flagged	low	unwanted_behaviour	
spec-ears	B18	ST-16	flagged	low	unwanted_behaviour	
spec-ears	B18	ST-17	flagged	low	unwanted_behaviour	
spec-ears	B18	ST-18	clean		unwanted_behaviour	
spec-ears	B18	ST-19	flagged	low	unwanted_behaviour	
spec-ears	B18	ST-20	clean		ubiquitous	
spec-ears	B18	ST-21	clean		ubiquitous	
spec-ears	B18	ST-22	clean		ubiquitous	
spec-ears	B18	ST-23	clean		ubiquitous	
spec-ears	B19	ST-01	clean		ubiquitous	
spec-ears	B19	ST-02	clean		state_driven	
spec-ears	B19	ST-03	clean		ubiquitous	
spec-ears	B19	ST-04	clean		ubiquitous	
spec-ears	B19	ST-05	clean		ubiquitous	
spec-ears	B19	ST-06	clean		ubiquitous	
spec-ears	B19	ST-07	clean		ubiquitous	
spec-ears	B19	ST-08	clean		state_driven	
spec-ears	B19	ST-09	clean		ubiquitous	
spec-ears	B19	ST-10	flagged	low	ubiquitous	
spec-ears	B19	ST-11	clean		ubiquitous	
spec-ears	B19	ST-12	clean		unwanted_behaviour	
spec-ears	B19	ST-13	clean		ubiquitous	
spec-ears	B19	ST-14	clean		unwanted_behaviour	
spec-ears	B19	ST-15	clean		unwanted_behaviour	
spec-ears	B19	ST-16	clean		unwanted_behaviour	
spec-ears	B19	ST-17	clean		unwanted_behaviour	
spec-ears	B19	ST-18	clean		unwanted_behaviour	
spec-ears	B19	ST-19	flagged	low	unwanted_behaviour	
spec-ears	B19	ST-20	clean		ubiquitous	
spec-ears	B19	ST-21	clean		ubiquitous	
spec-ears	B19	ST-22	clean		ubiquitous	
spec-ears	B19	ST-23	clean		ubiquitous	
spec-ears	B20	ST-01	clean		ubiquitous	
spec-ears	B20	ST-02	clean		state_driven	
spec-ears	B20	ST-03	clean		ubiquitous	
spec-ears	B20	ST-04	clean		ubiquitous	
spec-ears	B20	ST-05	clean		ubiquitous	
spec-ears	B20	ST-06	clean		ubiquitous	
spec-ears	B20	ST-07	clean		ubiquitous	
spec-ears	B20	ST-08	clean		state_driven	
spec-ears	B20	ST-09	clean		ubiquitous	
spec-ears	B20	ST-10	flagged	low	ubiquitous	
spec-ears	B20	ST-11	clean		ubiquitous	
spec-ears	B20	ST-12	flagged	low	ubiquitous	
spec-ears	B20	ST-13	clean		ubiquitous	
spec-ears	B20	ST-14	clean		ubiquitous	
spec-ears	B20	ST-15	clean		ubiquitous	
spec-ears	B20	ST-16	clean		ubiquitous	
spec-ears	B20	ST-17	clean		ubiquitous	
spec-ears	B20	ST-18	flagged	low	unwanted_behaviour	
spec-ears	B20	ST-19	flagged	low	ubiquitous	
spec-ears	B20	ST-20	clean		ubiquitous	
spec-ears	B20	ST-21	clean		ubiquitous	
spec-ears	B20	ST-22	clean		ubiquitous	
spec-ears	B20	ST-23	clean		ubiquitous	
spec-review	C01	FR-001-AC-1	clean			
spec-review	C01	FR-001-AC-2	clean			
spec-review	C01	FR-001-AC-3	clean			
spec-review	C01	FR-001-AC-4	clean			
spec-review	C01	FR-001-AC-5	clean			
spec-review	C01	FR-002-AC-1	clean			
spec-review	C01	FR-002-AC-2	flagged	low		
spec-review	C01	FR-002-AC-3	clean			
spec-review	C01	FR-003-AC-1	flagged	low		
spec-review	C01	FR-003-AC-2	clean			
spec-review	C01	FR-003-AC-3	clean			
spec-review	C01	FR-003-AC-4	clean			
spec-review	C01	FR-003-AC-5	clean			
spec-review	C01	FR-003-AC-6	clean			
spec-review	C01	FR-003-AC-7	flagged	low		
spec-review	C01	NFR-001-AC-1	clean			
spec-review	C01	NFR-001-AC-2	clean			
spec-review	C01	NFR-001-AC-3	clean			
spec-review	C01	StR-001-VC-1	clean			
spec-review	C01	StR-001-VC-2	clean			
spec-review	C01	StR-001-VC-3	clean			
spec-review	C02	FR-001-AC-1	clean			
spec-review	C02	FR-001-AC-2	clean			
spec-review	C02	FR-001-AC-3	clean			
spec-review	C02	FR-001-AC-4	clean			
spec-review	C02	FR-001-AC-5	clean			
spec-review	C02	FR-002-AC-1	clean			
spec-review	C02	FR-002-AC-2	clean			
spec-review	C02	FR-002-AC-3	clean			
spec-review	C02	FR-003-AC-1	clean			
spec-review	C02	FR-003-AC-2	clean			
spec-review	C02	FR-003-AC-3	clean			
spec-review	C02	FR-003-AC-4	clean			
spec-review	C02	FR-003-AC-5	clean			
spec-review	C02	FR-003-AC-6	clean			
spec-review	C02	FR-003-AC-7	flagged	medium		
spec-review	C02	NFR-001-AC-1	clean			
spec-review	C02	NFR-001-AC-2	flagged	low		
spec-review	C02	NFR-001-AC-3	clean			
spec-review	C02	StR-001-VC-1	flagged	low		
spec-review	C02	StR-001-VC-2	clean			
spec-review	C02	StR-001-VC-3	clean			
spec-review	C03	FR-001-AC-1	clean			
spec-review	C03	FR-001-AC-2	clean			
spec-review	C03	FR-001-AC-3	clean			
spec-review	C03	FR-001-AC-4	clean			
spec-review	C03	FR-001-AC-5	clean			
spec-review	C03	FR-002-AC-1	flagged	low		
spec-review	C03	FR-002-AC-2	flagged	low		
spec-review	C03	FR-002-AC-3	clean			
spec-review	C03	FR-003-AC-1	flagged	low		
spec-review	C03	FR-003-AC-2	clean			
spec-review	C03	FR-003-AC-3	clean			
spec-review	C03	FR-003-AC-4	clean			
spec-review	C03	FR-003-AC-5	clean			
spec-review	C03	FR-003-AC-6	clean			
spec-review	C03	FR-003-AC-7	flagged	medium		
spec-review	C03	NFR-001-AC-1	clean			
spec-review	C03	NFR-001-AC-2	flagged	low		
spec-review	C03	NFR-001-AC-3	flagged	low		
spec-review	C03	StR-001-VC-1	flagged	low		
spec-review	C03	StR-001-VC-2	clean			
spec-review	C03	StR-001-VC-3	clean			
spec-review	C04	FR-001-AC-1	clean			
spec-review	C04	FR-001-AC-2	clean			
spec-review	C04	FR-001-AC-3	clean			
spec-review	C04	FR-001-AC-4	clean			
spec-review	C04	FR-001-AC-5	clean			
spec-review	C04	FR-002-AC-1	clean			
spec-review	C04	FR-002-AC-2	clean			
spec-review	C04	FR-002-AC-3	clean			
spec-review	C04	FR-003-AC-1	flagged	medium		
spec-review	C04	FR-003-AC-2	clean			
spec-review	C04	FR-003-AC-3	clean			
spec-review	C04	FR-003-AC-4	clean			
spec-review	C04	FR-003-AC-5	clean			
spec-review	C04	FR-003-AC-6	clean			
spec-review	C04	FR-003-AC-7	flagged	medium		
spec-review	C04	NFR-001-AC-1	clean			
spec-review	C04	NFR-001-AC-2	flagged	low		
spec-review	C04	NFR-001-AC-3	flagged	low		
spec-review	C04	StR-001-VC-1	clean			
spec-review	C04	StR-001-VC-2	clean			
spec-review	C04	StR-001-VC-3	clean			
spec-review	C05	FR-001-AC-1	clean			
spec-review	C05	FR-001-AC-2	clean			
spec-review	C05	FR-001-AC-3	clean			
spec-review	C05	FR-001-AC-4	clean			
spec-review	C05	FR-001-AC-5	clean			
spec-review	C05	FR-002-AC-1	flagged	low		
spec-review	C05	FR-002-AC-2	flagged	low		
spec-review	C05	FR-002-AC-3	clean			
spec-review	C05	FR-003-AC-1	clean			
spec-review	C05	FR-003-AC-2	clean			
spec-review	C05	FR-003-AC-3	clean			
spec-review	C05	FR-003-AC-4	clean			
spec-review	C05	FR-003-AC-5	clean			
spec-review	C05	FR-003-AC-6	clean			
spec-review	C05	FR-003-AC-7	flagged	medium		
spec-review	C05	NFR-001-AC-1	clean			
spec-review	C05	NFR-001-AC-2	flagged	low		
spec-review	C05	NFR-001-AC-3	flagged	low		
spec-review	C05	StR-001-VC-1	flagged	low		
spec-review	C05	StR-001-VC-2	clean			
spec-review	C05	StR-001-VC-3	clean			
spec-review	C06	FR-001-AC-1	clean			
spec-review	C06	FR-001-AC-2	clean			
spec-review	C06	FR-001-AC-3	clean			
spec-review	C06	FR-001-AC-4	clean			
spec-review	C06	FR-001-AC-5	clean			
spec-review	C06	FR-002-AC-1	clean			
spec-review	C06	FR-002-AC-2	clean			
spec-review	C06	FR-002-AC-3	clean			
spec-review	C06	FR-003-AC-1	clean			
spec-review	C06	FR-003-AC-2	clean			
spec-review	C06	FR-003-AC-3	clean			
spec-review	C06	FR-003-AC-4	clean			
spec-review	C06	FR-003-AC-5	clean			
spec-review	C06	FR-003-AC-6	clean			
spec-review	C06	FR-003-AC-7	flagged	medium		
spec-review	C06	NFR-001-AC-1	clean			
spec-review	C06	NFR-001-AC-2	flagged	low		
spec-review	C06	NFR-001-AC-3	flagged	low		
spec-review	C06	StR-001-VC-1	flagged	low		
spec-review	C06	StR-001-VC-2	clean			
spec-review	C06	StR-001-VC-3	clean			
spec-review	C07	FR-001-AC-1	clean			
spec-review	C07	FR-001-AC-2	clean			
spec-review	C07	FR-001-AC-3	clean			
spec-review	C07	FR-001-AC-4	clean			
spec-review	C07	FR-001-AC-5	clean			
spec-review	C07	FR-002-AC-1	flagged	low		
spec-review	C07	FR-002-AC-2	clean			
spec-review	C07	FR-002-AC-3	clean			
spec-review	C07	FR-003-AC-1	clean			
spec-review	C07	FR-003-AC-2	clean			
spec-review	C07	FR-003-AC-3	clean			
spec-review	C07	FR-003-AC-4	clean			
spec-review	C07	FR-003-AC-5	clean			
spec-review	C07	FR-003-AC-6	clean			
spec-review	C07	FR-003-AC-7	flagged	low		
spec-review	C07	NFR-001-AC-1	clean			
spec-review	C07	NFR-001-AC-2	clean			
spec-review	C07	NFR-001-AC-3	clean			
spec-review	C07	StR-001-VC-1	clean			
spec-review	C07	StR-001-VC-2	clean			
spec-review	C07	StR-001-VC-3	clean			
spec-review	C08	FR-001-AC-1	clean			
spec-review	C08	FR-001-AC-2	clean			
spec-review	C08	FR-001-AC-3	clean			
spec-review	C08	FR-001-AC-4	clean			
spec-review	C08	FR-001-AC-5	clean			
spec-review	C08	FR-002-AC-1	flagged	low		
spec-review	C08	FR-002-AC-2	flagged	low		
spec-review	C08	FR-002-AC-3	clean			
spec-review	C08	FR-003-AC-1	flagged	low		
spec-review	C08	FR-003-AC-2	clean			
spec-review	C08	FR-003-AC-3	clean			
spec-review	C08	FR-003-AC-4	clean			
spec-review	C08	FR-003-AC-5	clean			
spec-review	C08	FR-003-AC-6	clean			
spec-review	C08	FR-003-AC-7	flagged	medium		
spec-review	C08	NFR-001-AC-1	clean			
spec-review	C08	NFR-001-AC-2	flagged	low		
spec-review	C08	NFR-001-AC-3	clean			
spec-review	C08	StR-001-VC-1	clean			
spec-review	C08	StR-001-VC-2	clean			
spec-review	C08	StR-001-VC-3	clean			
spec-review	C09	FR-001-AC-1	clean			
spec-review	C09	FR-001-AC-2	clean			
spec-review	C09	FR-001-AC-3	clean			
spec-review	C09	FR-001-AC-4	clean			
spec-review	C09	FR-001-AC-5	clean			
spec-review	C09	FR-002-AC-1	clean			
spec-review	C09	FR-002-AC-2	clean			
spec-review	C09	FR-002-AC-3	clean			
spec-review	C09	FR-003-AC-1	clean			
spec-review	C09	FR-003-AC-2	clean			
spec-review	C09	FR-003-AC-3	clean			
spec-review	C09	FR-003-AC-4	clean			
spec-review	C09	FR-003-AC-5	clean			
spec-review	C09	FR-003-AC-6	clean			
spec-review	C09	FR-003-AC-7	flagged	low		
spec-review	C09	NFR-001-AC-1	clean			
spec-review	C09	NFR-001-AC-2	clean			
spec-review	C09	NFR-001-AC-3	flagged	low		
spec-review	C09	StR-001-VC-1	clean			
spec-review	C09	StR-001-VC-2	clean			
spec-review	C09	StR-001-VC-3	clean			
spec-review	C10	FR-001-AC-1	clean			
spec-review	C10	FR-001-AC-2	clean			
spec-review	C10	FR-001-AC-3	clean			
spec-review	C10	FR-001-AC-4	clean			
spec-review	C10	FR-001-AC-5	clean			
spec-review	C10	FR-002-AC-1	clean			
spec-review	C10	FR-002-AC-2	flagged	low		
spec-review	C10	FR-002-AC-3	clean			
spec-review	C10	FR-003-AC-1	clean			
spec-review	C10	FR-003-AC-2	clean			
spec-review	C10	FR-003-AC-3	clean			
spec-review	C10	FR-003-AC-4	clean			
spec-review	C10	FR-003-AC-5	clean			
spec-review	C10	FR-003-AC-6	clean			
spec-review	C10	FR-003-AC-7	flagged	medium		
spec-review	C10	NFR-001-AC-1	clean			
spec-review	C10	NFR-001-AC-2	clean			
spec-review	C10	NFR-001-AC-3	flagged	low		
spec-review	C10	StR-001-VC-1	clean			
spec-review	C10	StR-001-VC-2	clean			
spec-review	C10	StR-001-VC-3	clean			
spec-review	C11	FR-001-AC-1	clean			
spec-review	C11	FR-001-AC-2	clean			
spec-review	C11	FR-001-AC-3	clean			
spec-review	C11	FR-001-AC-4	clean			
spec-review	C11	FR-001-AC-5	clean			
spec-review	C11	FR-002-AC-1	clean			
spec-review	C11	FR-002-AC-2	clean			
spec-review	C11	FR-002-AC-3	clean			
spec-review	C11	FR-003-AC-1	clean			
spec-review	C11	FR-003-AC-2	clean			
spec-review	C11	FR-003-AC-3	clean			
spec-review	C11	FR-003-AC-4	clean			
spec-review	C11	FR-003-AC-5	clean			
spec-review	C11	FR-003-AC-6	clean			
spec-review	C11	FR-003-AC-7	flagged	low		
spec-review	C11	NFR-001-AC-1	clean			
spec-review	C11	NFR-001-AC-2	clean			
spec-review	C11	NFR-001-AC-3	flagged	low		
spec-review	C11	StR-001-VC-1	clean			
spec-review	C11	StR-001-VC-2	clean			
spec-review	C11	StR-001-VC-3	clean			
spec-review	C12	FR-001-AC-1	clean			
spec-review	C12	FR-001-AC-2	clean			
spec-review	C12	FR-001-AC-3	clean			
spec-review	C12	FR-001-AC-4	clean			
spec-review	C12	FR-001-AC-5	clean			
spec-review	C12	FR-002-AC-1	clean			
spec-review	C12	FR-002-AC-2	flagged	low		
spec-review	C12	FR-002-AC-3	clean			
spec-review	C12	FR-003-AC-1	clean			
spec-review	C12	FR-003-AC-2	clean			
spec-review	C12	FR-003-AC-3	clean			
spec-review	C12	FR-003-AC-4	clean			
spec-review	C12	FR-003-AC-5	clean			
spec-review	C12	FR-003-AC-6	clean			
spec-review	C12	FR-003-AC-7	flagged	medium		
spec-review	C12	NFR-001-AC-1	clean			
spec-review	C12	NFR-001-AC-2	clean			
spec-review	C12	NFR-001-AC-3	flagged	low		
spec-review	C12	StR-001-VC-1	clean			
spec-review	C12	StR-001-VC-2	clean			
spec-review	C12	StR-001-VC-3	clean			
